Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Liberia,LBR,2013,16.8,23.13376432,32.3,24.72007298,2204.0,4348740.0,177526.93666900002,563953.0930850001,294788.252234,48257.006295499996,252577.98463800002,61421.528452,50155.1929541,67694.8628765,117941.605686,23268.391216599997,31016.673858899998,24161.962927599998,40795.5569892,73854.39408360001,77570.53795160001,46570.257445699994,151738.161341,24998.770025,4.6133724023400005,4894.99926176,13236.6621823,8044.07297093,63507.8251345,26.1
Lithuania,LTU,2013,62.8,27.26355384,55.8,26.1048735,3417.0,3278337.0,10102.4678721,24676.33526,158.528817621,358.773984542,8220.63004618,3148.78207559,1856.01728255,164664.09396199998,347302.77892199997,21624.2957527,33973.9739561,24219.0485246,58191.5738199,93621.4304633,40914.0837884,81398.1947608,79518.25317669999,26510.5140803,7.59547465085,1.30922237824,46472.1427947,11227.700295100001,95524.8041565,61.4
Luxembourg,LUX,2013,66.8,27.467381899999996,47.8,25.40451634,3539.0,530018.0,244.089998501,2475.16086191,8.48422404643,58.6688154059,1270.63687318,430.601440555,286.4577007,20992.2693228,19385.1268045,5359.90132281,2199.88373474,1763.16170928,10761.6047234,14335.8638461,6642.96521846,14816.9578481,13280.468828799998,2448.77973601,1.70592860346,1.50840375053,2213.06071766,422.875500428,5859.52441378,60.5
Macedonia,MKD,2013,59.5,26.25287412,47.1,25.40130028,2949.0,2069219.0,1039.9593683,9085.22016643,113.84684923200001,190.588953327,15964.232702700001,6326.53184408,1059.65051233,103856.67454600001,214363.478595,15197.6198711,6396.33012113,8523.68363091,32808.8939283,38631.301034699994,44166.139077199994,46752.8446574,50255.3483631,12975.059140000001,19.7219640571,66.6821962372,7219.86571443,2885.32339857,32089.1545922,59.1
Madagascar,MDG,2013,14.1,21.1514794,27.1,21.00414325,2052.0,22555046.0,300857.16114,3507614.63559,589023.882147,192715.57041400002,1667284.27961,1107266.9816299998,565051.849482,389836.964219,1065121.79591,310290.832101,97272.5352178,160107.34845999998,199565.465877,395616.460982,281107.387508,231531.39136900002,684508.469388,159679.969826,2882.79405027,10767.818899799999,54359.09768230001,39115.1938171,395787.416562,19.5
Malawi,MWI,2013,11.4,22.28353535,28.3,23.14618383,2367.0,16406945.0,2539061.06014,2063763.6631,851444.876071,113109.73200399999,1406490.71973,512173.76077299996,182146.761355,524499.93172,391110.814975,108745.7946,64196.94262180001,120710.896237,142811.197503,257514.020119,215227.015946,149654.324676,424758.4176,131488.689379,56.5244669007,19.6896155314,39495.9585918,33880.429476,328437.418842,18.8
Malaysia,MYS,2013,36.4,25.01728761,38.4,25.651417300000002,2916.0,29787203.0,129994.158149,483804.143006,96489.4087114,17204.211339200003,162730.789247,92574.2678731,39142.8433231,571333.824212,1212870.0012,271780.828877,75545.245871,96189.2477174,346019.44068,591606.093273,449472.87722200004,462595.78951800003,631649.120258,380222.935694,108.81683857200001,4069.42396327,90109.96919460001,47714.3453381,245815.42099699998,38.5
Maldives,MDV,2013,27.1,23.91894979,33.3,25.36448778,2732.0,328551.0,313.922901465,1979.58164897,607.99144572,205.06008625599998,3173.5662165999997,2923.42688487,274.730939503,3371.33680063,8819.29846769,3405.33291986,567.155318573,280.472445467,3879.40729722,6162.01878712,5461.96090147,5131.44937948,8111.69166333,1283.97678072,16.3613810744,0.0,519.1139963640001,342.93567631900004,2734.0576489,25.1
Mali,MLI,2013,17.0,22.72635384,30.4,22.85300829,2890.0,16808242.0,334659.864661,2658350.45725,2546807.53655,161990.19983599999,1833403.5458799999,802664.1795310001,395369.986315,261673.346186,395521.655663,126315.890992,64238.268858300005,96308.81279129999,137735.700972,240470.780154,294626.949894,153432.842899,674482.588752,120294.837155,2377.64359801,56113.7801161,20356.641557299998,29150.389402999997,336035.053814,22.5
Malta,MLT,2013,69.3,27.70555568,58.2,26.75572533,3378.0,420557.0,155.893140842,2282.38487164,5.86685832898,22.7795916016,1712.8774484,332.176524983,131.547009032,16663.227076,20358.482278,3753.82637085,1014.46140965,1327.81814234,8685.11251124,9944.10897433,6495.62253649,12127.2347631,11549.7206526,1576.8083566,0.6428829418240001,1.77940695718,914.657218782,380.249225584,4725.34816333,68.8
